Region,Storage,Hour,Fuel,Value
DE,PHS,43,Power,-0.0
DE,PHS,44,Power,-0.0
DE,PHS,45,Power,-0.0
DE,PHS,46,Power,-0.0
DE,PHS,47,Power,-0.0
DE,PHS,48,Power,-0.0
DE,PHS,49,Power,-0.0
DE,PHS,50,Power,-0.0
DE,PHS,51,Power,-0.0
DE,PHS,52,Power,-0.0
DE,PHS,53,Power,-0.0
DE,PHS,54,Power,-0.0
DE,PHS,55,Power,-0.0
DE,PHS,56,Power,-0.0
DE,PHS,57,Power,-0.0
DE,PHS,58,Power,-0.0
DE,PHS,59,Power,-0.0
DE,PHS,60,Power,-0.0
DE,PHS,61,Power,-0.0
DE,PHS,62,Power,-0.0
DE,PHS,63,Power,-0.0
DE,PHS,64,Power,-0.0
DE,PHS,65,Power,-0.0
DE,PHS,66,Power,-0.0
DE,PHS,67,Power,-0.0
DE,PHS,68,Power,-0.0
DE,PHS,69,Power,-0.0
DE,PHS,70,Power,-0.0
DE,PHS,71,Power,-0.0
DE,PHS,72,Power,-0.0
DE,PHS,73,Power,-0.0
DE,PHS,74,Power,-0.0
DE,PHS,75,Power,-0.0
DE,PHS,76,Power,-0.0
DE,PHS,77,Power,-0.0
DE,PHS,78,Power,-0.0
DE,PHS,79,Power,-0.0
DE,PHS,80,Power,-0.0
DE,PHS,81,Power,-0.0
DE,PHS,82,Power,-0.0
DE,PHS,83,Power,-0.0
DE,PHS,84,Power,-0.0
DE,PHS,85,Power,-0.0
DE,PHS,86,Power,-0.0
DE,PHS,87,Power,-0.0
DE,PHS,88,Power,-0.0
DE,PHS,89,Power,-0.0
DE,PHS,90,Power,-0.0
DE,PHS,91,Power,-0.0
DE,PHS,92,Power,-0.0
DE,PHS,93,Power,-0.0
DE,PHS,94,Power,-0.0
DE,PHS,95,Power,-0.0
DE,PHS,96,Power,-0.0
DE,PHS,97,Power,-0.0
DE,PHS,98,Power,-0.0
DE,PHS,99,Power,-0.0
DE,PHS,100,Power,-0.0
DE,PHS,101,Power,-0.0
DE,PHS,102,Power,-0.0
DE,PHS,103,Power,-0.0
DE,PHS,104,Power,-0.0
DE,PHS,105,Power,-0.0
DE,PHS,106,Power,-0.0
DE,PHS,107,Power,-0.0
DE,PHS,108,Power,-0.0
DE,PHS,109,Power,-0.0
DE,PHS,110,Power,-0.0
DE,PHS,111,Power,-0.0
DE,PHS,112,Power,-0.0
DE,PHS,113,Power,-0.0
DE,PHS,114,Power,-0.0
DE,PHS,115,Power,-0.0
DE,PHS,116,Power,-0.0
DE,PHS,117,Power,-0.0
DE,PHS,118,Power,-0.0
DE,PHS,119,Power,-0.0
DE,PHS,120,Power,-0.0
DE,H2Tank,1,H2,25.0
DE,H2Tank,2,H2,23.947112069493308
DE,H2Tank,3,H2,20.826082457046763
DE,H2Tank,4,H2,20.826082457046763
DE,H2Tank,5,H2,20.826082457046763
DE,H2Tank,6,H2,20.826082457046763
DE,H2Tank,7,H2,15.379363572343937
DE,H2Tank,8,H2,4.853047782870254
DE,H2Tank,9,H2,-0.0
DE,H2Tank,10,H2,-0.0
DE,H2Tank,11,H2,-0.0
DE,H2Tank,12,H2,-0.0
DE,H2Tank,13,H2,-0.0
DE,H2Tank,14,H2,-0.0
DE,H2Tank,15,H2,-0.0
DE,H2Tank,16,H2,-0.0
DE,H2Tank,17,H2,-0.0
DE,H2Tank,18,H2,-0.0
DE,H2Tank,19,H2,-0.0
DE,H2Tank,20,H2,-0.0
DE,H2Tank,21,H2,-0.0
DE,H2Tank,22,H2,-0.0
DE,H2Tank,23,H2,-0.0
DE,H2Tank,24,H2,-0.0
DE,H2Tank,25,H2,-0.0
DE,H2Tank,26,H2,-0.0
DE,H2Tank,27,H2,-0.0
DE,H2Tank,28,H2,0.0
DE,H2Tank,29,H2,11.875
DE,H2Tank,30,H2,23.75
DE,H2Tank,31,H2,35.625
DE,H2Tank,32,H2,44.429679443750004
DE,H2Tank,33,H2,44.429679443750004
DE,H2Tank,34,H2,44.429679443750004
DE,H2Tank,35,H2,44.429679443750004
DE,H2Tank,36,H2,44.429679443750004
DE,H2Tank,37,H2,40.00535616304825
DE,H2Tank,38,H2,34.08573488796179
DE,H2Tank,39,H2,28.82257699322495
DE,H2Tank,40,H2,20.21619842831267
DE,H2Tank,41,H2,11.885035600242494
DE,H2Tank,42,H2,2.138205894736844
DE,H2Tank,43,H2,0.0
DE,H2Tank,44,H2,0.0
DE,H2Tank,45,H2,0.0
DE,H2Tank,46,H2,0.0
DE,H2Tank,47,H2,0.0
DE,H2Tank,48,H2,0.0
DE,H2Tank,49,H2,0.0
DE,H2Tank,50,H2,7.125
DE,H2Tank,51,H2,19.0
DE,H2Tank,52,H2,30.875
DE,H2Tank,53,H2,39.861175210000006
DE,H2Tank,54,H2,47.5308594380839
DE,H2Tank,55,H2,50.0
DE,H2Tank,56,H2,50.0
DE,H2Tank,57,H2,50.0
DE,H2Tank,58,H2,50.0
DE,H2Tank,59,H2,50.0
DE,H2Tank,60,H2,48.070342140350874
DE,H2Tank,61,H2,48.070342140350874
DE,H2Tank,62,H2,48.070342140350874
DE,H2Tank,63,H2,41.57746436145287
DE,H2Tank,64,H2,31.051148571979184
DE,H2Tank,65,H2,25.78799067724234
DE,H2Tank,66,H2,20.5248327825055
DE,H2Tank,67,H2,15.261674887768656
DE,H2Tank,68,H2,5.263157894736842
DE,H2Tank,69,H2,5.263157894736842
DE,H2Tank,70,H2,5.263157894736842
DE,H2Tank,71,H2,5.263157894736842
DE,H2Tank,72,H2,0.0
DE,H2Tank,73,H2,0.0
DE,H2Tank,74,H2,0.0
DE,H2Tank,75,H2,11.875
DE,H2Tank,76,H2,23.75
DE,H2Tank,77,H2,35.625
DE,H2Tank,78,H2,47.5
DE,H2Tank,79,H2,50.0
DE,H2Tank,80,H2,50.0
DE,H2Tank,81,H2,50.0
DE,H2Tank,82,H2,50.0
DE,H2Tank,83,H2,50.0
DE,H2Tank,84,H2,50.0
DE,H2Tank,85,H2,50.0
DE,H2Tank,86,H2,40.93447857894737
DE,H2Tank,87,H2,35.67132068421053
DE,H2Tank,88,H2,27.745606555019723
DE,H2Tank,89,H2,25.0
DE,H2Tank,90,H2,25.0
DE,H2Tank,91,H2,25.0
DE,H2Tank,92,H2,25.0
DE,H2Tank,93,H2,25.0
DE,H2Tank,94,H2,25.0
DE,H2Tank,95,H2,25.0
DE,H2Tank,96,H2,25.0
DE,H2Tank,97,H2,25.0
DE,H2Tank,98,H2,25.0
DE,H2Tank,99,H2,25.0
DE,H2Tank,100,H2,25.0
DE,H2Tank,101,H2,25.0
DE,H2Tank,102,H2,25.0
DE,H2Tank,103,H2,25.0
DE,H2Tank,104,H2,25.0
DE,H2Tank,105,H2,25.0
DE,H2Tank,106,H2,25.0
DE,H2Tank,107,H2,25.0
DE,H2Tank,108,H2,25.0
DE,H2Tank,109,H2,25.0
DE,H2Tank,110,H2,25.0
DE,H2Tank,111,H2,25.0
DE,H2Tank,112,H2,25.0
DE,H2Tank,113,H2,25.0
DE,H2Tank,114,H2,25.0
DE,H2Tank,115,H2,25.0
DE,H2Tank,116,H2,25.0
DE,H2Tank,117,H2,25.0
DE,H2Tank,118,H2,25.0
DE,H2Tank,119,H2,25.0
DE,H2Tank,120,H2,25.0
FR,Battery,1,Power,29.09035891848661
FR,Battery,2,Power,28.944907123894183
FR,Battery,3,Power,15.099116914200636
FR,Battery,4,Power,0.0
FR,Battery,5,Power,0.0
FR,Battery,6,Power,-0.0
FR,Battery,7,Power,-0.0
FR,Battery,8,Power,-0.0
FR,Battery,9,Power,-0.0
FR,Battery,10,Power,-0.0
FR,Battery,11,Power,-0.0
FR,Battery,12,Power,14.999999999999998
FR,Battery,13,Power,14.924999999999999
FR,Battery,14,Power,14.850375
FR,Battery,15,Power,0.7565078578075564
FR,Battery,16,Power,0.0
FR,Battery,17,Power,-0.0
FR,Battery,18,Power,-0.0
FR,Battery,19,Power,-0.0
FR,Battery,20,Power,0.0
FR,Battery,21,Power,-0.0
FR,Battery,22,Power,-0.0
FR,Battery,23,Power,-0.0
FR,Battery,24,Power,-0.0
FR,Battery,25,Power,-0.0
FR,Battery,26,Power,0.0
FR,Battery,27,Power,-0.0
FR,Battery,28,Power,-0.0
FR,Battery,29,Power,-0.0
FR,Battery,30,Power,3.687957865143771
FR,Battery,31,Power,5.7386357167274475
FR,Battery,32,Power,5.70994253814381
FR,Battery,33,Power,5.681392825453091
FR,Battery,34,Power,5.652985861325826
FR,Battery,35,Power,5.624720932019197
FR,Battery,36,Power,6.8774366113488865
FR,Battery,37,Power,6.843049428292142
FR,Battery,38,Power,6.808834181150681
FR,Battery,39,Power,6.774790010244928
FR,Battery,40,Power,6.740916060193703
FR,Battery,41,Power,6.7072114798927345
FR,Battery,42,Power,6.673675422493271
FR,Battery,43,Power,6.640307045380805
FR,Battery,44,Power,16.871456671153897
FR,Battery,45,Power,16.78709938779813
FR,Battery,46,Power,16.703163890859138
FR,Battery,47,Power,13.95638423148686
FR,Battery,48,Power,0.02856651032942065
FR,Battery,49,Power,0.0
FR,Battery,50,Power,0.0
FR,Battery,51,Power,0.0
FR,Battery,52,Power,13.1553759541163
FR,Battery,53,Power,23.89668726084303
FR,Battery,54,Power,34.14705313803614
FR,Battery,55,Power,40.093151512843285
FR,Battery,56,Power,39.89268575527907
FR,Battery,57,Power,50.0
FR,Battery,58,Power,50.0
FR,Battery,59,Power,50.0
FR,Battery,60,Power,31.842984006202606
FR,Battery,61,Power,13.165250567653082
FR,Battery,62,Power,0.0
FR,Battery,63,Power,0.0
FR,Battery,64,Power,0.0
FR,Battery,65,Power,0.0
FR,Battery,66,Power,-0.0
FR,Battery,67,Power,-0.0
FR,Battery,68,Power,-0.0
FR,Battery,69,Power,-0.0
FR,Battery,70,Power,-0.0
FR,Battery,71,Power,-0.0
FR,Battery,72,Power,0.0
FR,Battery,73,Power,0.0
FR,Battery,74,Power,0.0
FR,Battery,75,Power,-0.0
FR,Battery,76,Power,12.165912736839077
FR,Battery,77,Power,27.10508317315488
FR,Battery,78,Power,41.9695577572891
FR,Battery,79,Power,50.0
FR,Battery,80,Power,50.0
FR,Battery,81,Power,50.0
FR,Battery,82,Power,50.0
FR,Battery,83,Power,35.24924492592592
FR,Battery,84,Power,16.554480182777777
FR,Battery,85,Power,16.126295587574834
FR,Battery,86,Power,16.04566410963696
FR,Battery,87,Power,15.965435789088776
FR,Battery,88,Power,15.885608610143334
FR,Battery,89,Power,15.80618056709262
FR,Battery,90,Power,15.727149664257158
FR,Battery,91,Power,15.648513915935874
FR,Battery,92,Power,13.16848699080064
FR,Battery,93,Power,11.56338758917997
FR,Battery,94,Power,6.6848810734562925
FR,Battery,95,Power,5.465720223644572
FR,Battery,96,Power,5.438391622526351
FR,Battery,97,Power,5.411199664413719
FR,Battery,98,Power,5.38414366609165
FR,Battery,99,Power,5.357222947761192
FR,Battery,100,Power,5.330436833022388
FR,Battery,101,Power,5.303784648857277
FR,Battery,102,Power,20.277265725612992
FR,Battery,103,Power,35.175879396984925
FR,Battery,104,Power,50.0
FR,Battery,105,Power,49.75
FR,Battery,106,Power,41.08118667312472
FR,Battery,107,Power,40.875780739759094
FR,Battery,108,Power,40.6714018360603
FR,Battery,109,Power,40.201781282435554
FR,Battery,110,Power,37.08995362602337
FR,Battery,111,Power,22.035210452337694
FR,Battery,112,Power,13.637456077853784
FR,Battery,113,Power,6.402015696830555
FR,Battery,114,Power,6.3700056183464016
FR,Battery,115,Power,6.33815559025467
FR,Battery,116,Power,6.306464812303396
FR,Battery,117,Power,14.25527429362744
FR,Battery,118,Power,18.53219889115931
FR,Battery,119,Power,25.12562814070352
FR,Battery,120,Power,25.0
FR,PHS,1,Power,589.1521073389742
FR,PHS,2,Power,576.7982493492824
FR,PHS,3,Power,564.4567452175802
FR,PHS,4,Power,552.1275825900096
FR,PHS,5,Power,539.8107491250666
FR,PHS,6,Power,527.5062324935886
FR,PHS,7,Power,526.5697539552127
FR,PHS,8,Power,520.3037514528013
FR,PHS,9,Power,514.8528193446571
FR,PHS,10,Power,514.3379665253124
FR,PHS,11,Power,513.823628558787
FR,PHS,12,Power,513.3098049302282
FR,PHS,13,Power,512.796495125298
FR,PHS,14,Power,500.51899274781977
FR,PHS,15,Power,488.25376787271904
FR,PHS,16,Power,476.0008082224934
FR,PHS,17,Power,463.760101531918
FR,PHS,18,Power,454.25594891273903
FR,PHS,19,Power,445.5355492697086
FR,PHS,20,Power,433.32530783808596
FR,PHS,21,Power,421.127276647895
