From,To,Hour,Fuel,Value,Technology
UK,NO,7,Power,-0.0,Export
DE,DK,7,Power,3.133176236815192,Export
FR,DK,7,Power,-0.0,Export
NO,DK,7,Power,-0.0,Export
DK,DK,7,Power,-0.0,Export
UK,DK,7,Power,-0.0,Export
DE,UK,7,Power,-0.0,Export
FR,UK,7,Power,-0.0,Export
NO,UK,7,Power,-0.0,Export
DK,UK,7,Power,-0.0,Export
UK,UK,7,Power,-0.0,Export
DE,DE,8,Power,-0.0,Export
FR,DE,8,Power,-0.0,Export
NO,DE,8,Power,-0.0,Export
DK,DE,8,Power,-0.0,Export
UK,DE,8,Power,-0.0,Export
DE,FR,8,Power,-0.0,Export
FR,FR,8,Power,-0.0,Export
NO,FR,8,Power,-0.0,Export
DK,FR,8,Power,-0.0,Export
UK,FR,8,Power,6.104850812708265,Export
DE,NO,8,Power,-0.0,Export
FR,NO,8,Power,-0.0,Export
NO,NO,8,Power,-0.0,Export
DK,NO,8,Power,-0.0,Export
UK,NO,8,Power,-0.0,Export
DE,DK,8,Power,0.13651660587982595,Export
FR,DK,8,Power,-0.0,Export
NO,DK,8,Power,-0.0,Export
DK,DK,8,Power,-0.0,Export
UK,DK,8,Power,-0.0,Export
DE,UK,8,Power,-0.0,Export
FR,UK,8,Power,-0.0,Export
NO,UK,8,Power,-0.0,Export
DK,UK,8,Power,-0.0,Export
UK,UK,8,Power,-0.0,Export
DE,DE,9,Power,-0.0,Export
FR,DE,9,Power,-0.0,Export
NO,DE,9,Power,-0.0,Export
DK,DE,9,Power,-0.0,Export
UK,DE,9,Power,-0.0,Export
DE,FR,9,Power,-0.0,Export
FR,FR,9,Power,-0.0,Export
NO,FR,9,Power,-0.0,Export
DK,FR,9,Power,-0.0,Export
UK,FR,9,Power,6.104850812708265,Export
DE,NO,9,Power,-0.0,Export
FR,NO,9,Power,-0.0,Export
NO,NO,9,Power,-0.0,Export
DK,NO,9,Power,-0.0,Export
UK,NO,9,Power,-0.0,Export
DE,DK,9,Power,-0.0,Export
FR,DK,9,Power,-0.0,Export
NO,DK,9,Power,-0.0,Export
DK,DK,9,Power,-0.0,Export
UK,DK,9,Power,-0.0,Export
DE,UK,9,Power,-0.0,Export
FR,UK,9,Power,-0.0,Export
