region,region,value
DE,FR,878.05 
FR,DE,878.05 
DE,DK,354.85
DK,DE,354.85
FR,UK,343.50
UK,FR,343.50
UK,NO,1153.25
NO,UK,1153.25
NO,DK,483.24
DK,NO,483.24
