time,C,I,N,S,W
2022-01-01 00:00:00,0.054152008166956166,0.01857319057652463,0.2211644773878036,0.05914044241643361,0.3066809106852178
2022-01-01 01:00:00,0.06611565554225064,0.015171169057691482,0.2059865233909667,0.05052700628850604,0.3316995820494047
2022-01-01 02:00:00,0.08250563574848012,0.017539646112637322,0.22227620253898558,0.03841424209993829,0.352381291066241
2022-01-01 03:00:00,0.09735883633371686,0.01841070455604058,0.2416808274747806,0.0350464709289739,0.33703158424501006
2022-01-01 04:00:00,0.10949568119444857,0.015448972028074506,0.25277694090214714,0.03810218511469154,0.3160366887851104
2022-01-01 05:00:00,0.12085013466349559,0.014681468180994665,0.2692461834685233,0.042053102372495633,0.3084913852003951
2022-01-01 06:00:00,0.14109570941292698,0.019531824636827743,0.2961584849942514,0.038067324659115005,0.3060758503651893
2022-01-01 07:00:00,0.16610319583179284,0.03285475502086046,0.3342131583072201,0.032591436086289345,0.3069623468727553
2022-01-01 08:00:00,0.18162289195211004,0.03361899817985751,0.38650752526690213,0.030003368093938384,0.3103845711708014
2022-01-01 09:00:00,0.16745410628425533,0.02257550292636238,0.4105111264003179,0.022297320304539493,0.29774784186953296
2022-01-01 10:00:00,0.11167401174441513,0.011488413681876827,0.3726188898159055,0.02080901728506435,0.24441971393666276
2022-01-01 11:00:00,0.10434898534461944,0.01264775549298733,0.3475677979248909,0.0043274901900521336,0.19499147340952167
2022-01-01 12:00:00,0.08576571625918146,0.015567253690807402,0.29129344653437006,0.0005157907293096699,0.17359967103256535
2022-01-01 13:00:00,0.06879669188935238,0.022153511574210204,0.2624215205273584,4.734190697367266e-05,0.1484581730338603
2022-01-01 14:00:00,0.06169382821105001,0.025989282227920074,0.24342220595702435,3.51749366958094e-05,0.15499346160707217
2022-01-01 15:00:00,0.06511984165291351,0.023338847134314836,0.2568834396827914,6.128596994849043e-05,0.18949019992655403
2022-01-01 16:00:00,0.08131250177788987,0.018341647430890805,0.3044284248510841,0.0009353891717736615,0.2312830418914878
2022-01-01 17:00:00,0.11351798431207384,0.01777106853400809,0.35307177242310106,0.010287363423187833,0.2635934643709027
2022-01-01 18:00:00,0.13749369505745296,0.019540457220661674,0.37678721233667933,0.02131729012069194,0.3010739800189058
2022-01-01 19:00:00,0.15549650727655104,0.018718755785769627,0.38139872100938327,0.025431871665095262,0.32037231888441003
2022-01-01 20:00:00,0.15556056175263533,0.016835726359867194,0.3666651293369209,0.03870361660657861,0.3670345635440047
2022-01-01 21:00:00,0.17640969042621782,0.01651589242002197,0.3842599072657799,0.0828785335677246,0.39363049968028896
2022-01-01 22:00:00,0.21208302019914255,0.00798677453328118,0.4463983070825011,0.13569499189698325,0.4904404352586509
2022-01-01 23:00:00,0.2598069117209476,0.00594121910165806,0.43975682658476034,0.10127005269844551,0.5574608778247909
2022-01-02 00:00:00,0.3286118664150133,0.00557849991570687,0.4217852644913016,0.10062452006130647,0.6185791710710629
2022-01-02 01:00:00,0.3787558723132046,0.0071817149825656335,0.4558103063099095,0.12304903879815941,0.6444890505208946
2022-01-02 02:00:00,0.4190650507318878,0.008802361090896386,0.480519737660833,0.1246994804073244,0.6470483482850208
2022-01-02 03:00:00,0.45179271067131743,0.012550492501588878,0.507116183577903,0.12240365299899242,0.5813922760700604
2022-01-02 04:00:00,0.4690657383508549,0.015589577112934724,0.5598148306461505,0.10749369224318987,0.48231613024588194
2022-01-02 05:00:00,0.45001066771305487,0.016517333018954177,0.6137399320264374,0.09759186854627805,0.4167631262466442
2022-01-02 06:00:00,0.4209806021775617,0.020528411707079346,0.6609704532924905,0.07292356807675161,0.39331275609726546
2022-01-02 07:00:00,0.40081785455196095,0.024416821168096528,0.6839572175934684,0.053171443028204764,0.41858689500270596
2022-01-02 08:00:00,0.4263073173292315,0.024749632565231272,0.6810108478507927,0.05880201384642647,0.44879894041900714
2022-01-02 09:00:00,0.4365138405183391,0.035045775682298934,0.6812806554355839,0.0640710932812387,0.4193191263062988
2022-01-02 10:00:00,0.34342224174963903,0.0327526977836094,0.5773512315774117,0.024662449922877482,0.431396067254772
2022-01-02 11:00:00,0.3316287385597648,0.033047895672299724,0.5598097808746063,0.012830951062639711,0.5162403851023923
2022-01-02 12:00:00,0.4031507427322745,0.04422167566449444,0.5601096533673572,0.007897419018588096,0.5686913918526455
2022-01-02 13:00:00,0.4224850039042425,0.05687463902809132,0.613057873718534,0.011204863452558934,0.6078567591403693
2022-01-02 14:00:00,0.47726379203983943,0.06922949758933457,0.7521225693342418,0.009772884053461004,0.6403317333281284
2022-01-02 15:00:00,0.5447626219443072,0.07285152158482945,0.8369046068039054,0.02125661541473743,0.6003077428579457
2022-01-02 16:00:00,0.5391255871088595,0.06818931606174217,0.9014198383685779,0.027053030683886942,0.5997273982700534
2022-01-02 17:00:00,0.5622950592404498,0.080429332974357,0.9478444527964406,0.020607469052851136,0.5964492776295599
2022-01-02 18:00:00,0.612121398605332,0.09822957944100387,0.9646613686453487,0.035507022397531514,0.5475242278339493
2022-01-02 19:00:00,0.6090984678390872,0.09699902616244634,0.9667312690028492,0.037043745622934686,0.5222183905365698
2022-01-02 20:00:00,0.5923259506764909,0.09035055011381968,0.9575276239386225,0.02937801937972717,0.47547526809393065
2022-01-02 21:00:00,0.5598030524899178,0.09306678223045761,0.9450891563287058,0.026529919980872133,0.4321241543137388
2022-01-02 22:00:00,0.5003775015831683,0.0712610188930545,0.941847251007427,0.03961949688204345,0.36129805939171905
2022-01-02 23:00:00,0.4660196730534021,0.08635390005574903,0.9482424915470643,0.03546922446418158,0.3852222654276997
