region,hour,technology,value
DE,37,WindOnshore,0.161031191
DE,38,WindOnshore,0.072548385
DE,39,WindOnshore,0.176778827
DE,40,WindOnshore,0.135756292
DE,41,WindOnshore,0.21586173
DE,42,WindOnshore,0.152631444
DE,43,WindOnshore,0.238654088
DE,44,WindOnshore,0.177961564
DE,45,WindOnshore,0.123178498
DE,46,WindOnshore,0.048317754
DE,47,WindOnshore,0.018229667
DE,48,WindOnshore,0.095662904
DE,49,WindOnshore,0.284495614
DE,50,WindOnshore,0.576872281
DE,51,WindOnshore,0.496574992
DE,52,WindOnshore,0.262940087
DE,53,WindOnshore,0.041534486
DE,54,WindOnshore,0.044850153
DE,55,WindOnshore,0.072448075
DE,56,WindOnshore,0.162004983
DE,57,WindOnshore,0.153833344
DE,58,WindOnshore,0.104665356
DE,59,WindOnshore,0.052449053
DE,60,WindOnshore,0.133949834
DE,61,WindOnshore,0.262597991
DE,62,WindOnshore,0.416301383
DE,63,WindOnshore,0.255031152
DE,64,WindOnshore,0.17268519
DE,65,WindOnshore,0.096253358
DE,66,WindOnshore,0.151192169
DE,67,WindOnshore,0.112685671
DE,68,WindOnshore,0.133019756
DE,69,WindOnshore,0.316857907
DE,70,WindOnshore,0.298312919
DE,71,WindOnshore,0.222345685
DE,72,WindOnshore,0.013679011
DE,73,WindOnshore,0.020292628
DE,74,WindOnshore,0.132845541
DE,75,WindOnshore,0.271802946
DE,76,WindOnshore,0.319651904
DE,77,WindOnshore,0.295565051
DE,78,WindOnshore,0.239992083
DE,79,WindOnshore,0.18459458
DE,80,WindOnshore,0.111459636
DE,81,WindOnshore,0.089912893
DE,82,WindOnshore,0.207095054
DE,83,WindOnshore,0.214361986
DE,84,WindOnshore,0.311358913
DE,85,WindOnshore,0.365952218
DE,86,WindOnshore,0.349595093
DE,87,WindOnshore,0.266092382
DE,88,WindOnshore,0.148562062
DE,89,WindOnshore,0.140150722
DE,90,WindOnshore,0.099814402
DE,91,WindOnshore,0.079139617
DE,92,WindOnshore,0.083834658
DE,93,WindOnshore,0.141269312
DE,94,WindOnshore,0.188943457
DE,95,WindOnshore,0.144341627
DE,96,WindOnshore,0.062349549
DE,97,WindOnshore,0.155519809
DE,98,WindOnshore,0.136690934
DE,99,WindOnshore,0.115035233
DE,100,WindOnshore,0.004779131
DE,101,WindOnshore,0.000933333
DE,102,WindOnshore,0.040139009
DE,103,WindOnshore,0.275672243
DE,104,WindOnshore,0.517403265
DE,105,WindOnshore,0.683430372
DE,106,WindOnshore,0.713534479
DE,107,WindOnshore,0.487825231
DE,108,WindOnshore,0.333202364
DE,109,WindOnshore,0.166772353
DE,110,WindOnshore,0.219720353
DE,111,WindOnshore,0.353924708
DE,112,WindOnshore,0.252791845
DE,113,WindOnshore,0.33653836
DE,114,WindOnshore,0.141151465
DE,115,WindOnshore,0.196883334
DE,116,WindOnshore,0.130643591
DE,117,WindOnshore,0.385784599
DE,118,WindOnshore,0.657560287
DE,119,WindOnshore,0.783628195
DE,120,WindOnshore,0.792666667
DK,1,WindOffshore,0.90035868
DK,2,WindOffshore,0.616473129
DK,3,WindOffshore,0.647303688
DK,4,WindOffshore,0.373861612
