Year,Region,Technology,Value,Type
2040,DK,BEV,4.8586005000000005,AccumulatedCapacity
2050,DK,BEV,999.0,AccumulatedCapacity
2020,UK,BEV,17.163,AccumulatedCapacity
2030,UK,BEV,17.7021848430267,AccumulatedCapacity
2040,UK,BEV,24.2930025,AccumulatedCapacity
2050,UK,BEV,999.0,AccumulatedCapacity
2020,DE,LPGCar,25.0,AccumulatedCapacity
2030,DE,LPGCar,28.1658,AccumulatedCapacity
2040,DE,LPGCar,32.39067,AccumulatedCapacity
2050,DE,LPGCar,999.0,AccumulatedCapacity
2020,FR,LPGCar,16.0,AccumulatedCapacity
2030,FR,LPGCar,21.9305,AccumulatedCapacity
2040,FR,LPGCar,15.79059,AccumulatedCapacity
2050,FR,LPGCar,999.0,AccumulatedCapacity
2020,NO,LPGCar,4.0,AccumulatedCapacity
2030,NO,LPGCar,3.8727975000000003,AccumulatedCapacity
2040,NO,LPGCar,4.453717125000001,AccumulatedCapacity
2050,NO,LPGCar,999.0,AccumulatedCapacity
2020,DK,LPGCar,4.0,AccumulatedCapacity
2030,DK,LPGCar,4.22487,AccumulatedCapacity
2040,DK,LPGCar,4.8586005000000005,AccumulatedCapacity
2050,DK,LPGCar,999.0,AccumulatedCapacity
2020,UK,LPGCar,13.0,AccumulatedCapacity
2030,UK,LPGCar,18.82665,AccumulatedCapacity
2040,UK,LPGCar,11.116935,AccumulatedCapacity
2050,UK,LPGCar,999.0,AccumulatedCapacity
2020,DE,WindOnshore,65.0,AccumulatedCapacity
2030,DE,WindOnshore,82.0,AccumulatedCapacity
2040,DE,WindOnshore,99.0,AccumulatedCapacity
2050,DE,WindOnshore,130.0,AccumulatedCapacity
2020,FR,WindOnshore,84.0,AccumulatedCapacity
2030,FR,WindOnshore,106.0,AccumulatedCapacity
2040,FR,WindOnshore,140.0,AccumulatedCapacity
2050,FR,WindOnshore,180.0,AccumulatedCapacity
2020,NO,WindOnshore,26.0,AccumulatedCapacity
2030,NO,WindOnshore,33.0,AccumulatedCapacity
2040,NO,WindOnshore,39.0,AccumulatedCapacity
2050,NO,WindOnshore,46.0,AccumulatedCapacity
2020,DK,WindOnshore,39.0,AccumulatedCapacity
2030,DK,WindOnshore,49.0,AccumulatedCapacity
2040,DK,WindOnshore,59.0,AccumulatedCapacity
2050,DK,WindOnshore,70.0,AccumulatedCapacity
2020,UK,WindOnshore,90.0,AccumulatedCapacity
2030,UK,WindOnshore,113.0,AccumulatedCapacity
2040,UK,WindOnshore,151.0,AccumulatedCapacity
2050,UK,WindOnshore,210.0,AccumulatedCapacity
2020,DE,WindOffshore,13.0,AccumulatedCapacity
2030,DE,WindOffshore,21.0,AccumulatedCapacity
2040,DE,WindOffshore,32.0,AccumulatedCapacity
2050,DE,WindOffshore,65.0,AccumulatedCapacity
2020,FR,WindOffshore,6.0,AccumulatedCapacity
2030,FR,WindOffshore,11.0,AccumulatedCapacity
2040,FR,WindOffshore,25.0,AccumulatedCapacity
2050,FR,WindOffshore,37.0,AccumulatedCapacity
2020,NO,WindOffshore,-0.0,AccumulatedCapacity
2030,NO,WindOffshore,5.0,AccumulatedCapacity
2040,NO,WindOffshore,8.0,AccumulatedCapacity
2050,NO,WindOffshore,25.0,AccumulatedCapacity
2020,DK,WindOffshore,-0.0,AccumulatedCapacity
2030,DK,WindOffshore,7.0,AccumulatedCapacity
2040,DK,WindOffshore,12.0,AccumulatedCapacity
2050,DK,WindOffshore,40.0,AccumulatedCapacity
2020,UK,WindOffshore,4.0,AccumulatedCapacity
2030,UK,WindOffshore,7.0,AccumulatedCapacity
2040,UK,WindOffshore,20.0,AccumulatedCapacity
2050,UK,WindOffshore,40.0,AccumulatedCapacity
2020,DE,ElectricHeater,-0.0,AccumulatedCapacity
2030,DE,ElectricHeater,0.0,AccumulatedCapacity
2040,DE,ElectricHeater,20.59911,AccumulatedCapacity
2050,DE,ElectricHeater,999.0,AccumulatedCapacity
2020,FR,ElectricHeater,-0.0,AccumulatedCapacity
2030,FR,ElectricHeater,3.26545948242628,AccumulatedCapacity
2040,FR,ElectricHeater,11.270164771776697,AccumulatedCapacity
2050,FR,ElectricHeater,999.0,AccumulatedCapacity
2020,NO,ElectricHeater,0.0,AccumulatedCapacity
2030,NO,ElectricHeater,0.0,AccumulatedCapacity
2040,NO,ElectricHeater,2.06388,AccumulatedCapacity
2050,NO,ElectricHeater,999.0,AccumulatedCapacity
2020,DK,ElectricHeater,-0.0,AccumulatedCapacity
2030,DK,ElectricHeater,-0.0,AccumulatedCapacity
2040,DK,ElectricHeater,20.55942,AccumulatedCapacity
2050,DK,ElectricHeater,999.0,AccumulatedCapacity
2020,UK,ElectricHeater,0.0,AccumulatedCapacity
2030,UK,ElectricHeater,-0.0,AccumulatedCapacity
2040,UK,ElectricHeater,49.059223019090915,AccumulatedCapacity
2050,UK,ElectricHeater,999.0,AccumulatedCapacity
2020,DE,BiomassGenerator,20.0,AccumulatedCapacity
2030,DE,BiomassGenerator,15.0,AccumulatedCapacity
2040,DE,BiomassGenerator,20.0,AccumulatedCapacity
2050,DE,BiomassGenerator,20.0,AccumulatedCapacity
2020,FR,BiomassGenerator,10.0,AccumulatedCapacity
2030,FR,BiomassGenerator,10.0,AccumulatedCapacity
2040,FR,BiomassGenerator,10.0,AccumulatedCapacity
2050,FR,BiomassGenerator,10.0,AccumulatedCapacity
2020,NO,BiomassGenerator,5.0,AccumulatedCapacity
2030,NO,BiomassGenerator,5.0,AccumulatedCapacity
2040,NO,BiomassGenerator,5.0,AccumulatedCapacity
2050,NO,BiomassGenerator,5.0,AccumulatedCapacity
2020,DK,BiomassGenerator,5.0,AccumulatedCapacity
2030,DK,BiomassGenerator,3.75,AccumulatedCapacity
2040,DK,BiomassGenerator,5.0,AccumulatedCapacity
2050,DK,BiomassGenerator,5.0,AccumulatedCapacity
2020,UK,BiomassGenerator,10.0,AccumulatedCapacity
2030,UK,BiomassGenerator,10.0,AccumulatedCapacity
2040,UK,BiomassGenerator,10.0,AccumulatedCapacity
2050,UK,BiomassGenerator,10.0,AccumulatedCapacity
2020,DE,BECCS,0.0,AccumulatedCapacity
2030,DE,BECCS,1.2455953870725716,AccumulatedCapacity
2040,DE,BECCS,10.0,AccumulatedCapacity
2050,DE,BECCS,999.0,AccumulatedCapacity
2020,FR,BECCS,5.0,AccumulatedCapacity
2030,FR,BECCS,5.0,AccumulatedCapacity
2040,FR,BECCS,5.0,AccumulatedCapacity
2050,FR,BECCS,999.0,AccumulatedCapacity
2020,NO,BECCS,0.0,AccumulatedCapacity
2030,NO,BECCS,2.5,AccumulatedCapacity
2040,NO,BECCS,2.5,AccumulatedCapacity
2050,NO,BECCS,999.0,AccumulatedCapacity
2020,DK,BECCS,0.0,AccumulatedCapacity
2030,DK,BECCS,-0.0,AccumulatedCapacity
2040,DK,BECCS,2.5,AccumulatedCapacity
2050,DK,BECCS,999.0,AccumulatedCapacity
2020,UK,BECCS,0.0,AccumulatedCapacity
2030,UK,BECCS,5.0,AccumulatedCapacity
2040,UK,BECCS,5.0,AccumulatedCapacity
2050,UK,BECCS,999.0,AccumulatedCapacity
